sentence,path
Taneel gaaw bu baax waay,2022_03_25_12_23_32
dama soxla ay garab,2022_03_25_12_23_38
ndax mën ga ma yobu sa faajkat bi,2022_03_25_12_24_42
Jël garab,2022_03_25_12_24_48
at bu bees,2022_03_25_12_24_54
paak,2022_03_25_12_25_45
feetu liggéey,2022_03_25_12_25_52
koori,2022_03_25_12_25_58
tabaski,2022_03_25_12_26_04
beesu yek bi,2022_03_25_12_26_40
tamxarit,2022_03_25_12_26_46
magalu tubba,2022_03_25_12_26_52
gammu,2022_03_25_12_26_58
bees ñu bax ñi,2022_03_25_12_28_11
nowel,2022_03_25_12_28_19
beesu yay yi,2022_03_25_12_28_26
beesu paapa yi,2022_03_25_12_29_14
beesu mbegël,2022_03_25_12_29_25
beesu xalee yi,2022_03_25_12_29_31
bees bu delu ci,2022_03_25_12_29_37
definu feet bu nex,2022_03_25_12_29_44
feet bu nex,2022_03_25_12_29_51
benn,2022_03_25_12_30_00
lele,2022_03_25_12_30_06
kaw,2022_03_25_12_30_13
biir,2022_03_25_12_30_19
biti,2022_03_25_12_30_25
suufu,2022_03_25_12_30_35
jege,2022_03_25_12_30_45
ganaaw,2022_03_25_12_31_15
kanaam,2022_03_25_12_31_21
sori,2022_03_25_12_31_29
diggante,2022_03_25_12_31_36
ganaaw,2022_03_25_12_31_42
bees bu nek,2022_03_25_12_31_48
yën say,2022_03_25_12_31_54
waxtu bu nek,2022_03_25_12_32_01
demb,2022_03_25_12_32_08
xalee yu ndaw yi,2022_03_25_12_32_15
mag ñi,2022_03_25_12_32_21
goor,2022_03_25_12_33_49
jigeen,2022_03_25_12_33_55
xalee,2022_03_25_12_34_08
dekeunddo,2022_03_25_12_34_14
suba,2022_03_25_12_34_21
ngoon,2022_03_25_12_34_29
guddi,2022_03_25_12_34_52
ndekki,2022_03_25_12_34_59
añ,2022_03_25_12_35_06
reer,2022_03_25_12_35_12
altine,2022_03_25_12_35_25
talaata,2022_03_25_12_35_32
alaarba,2022_03_25_12_35_44
alxaamis,2022_03_25_12_35_55
aljuma,2022_03_25_12_43_38
gawu,2022_03_25_12_50_15
dibeer,2022_03_25_12_49_20
waxtu juli,2022_03_25_12_49_30
lu bees,2022_03_25_12_50_32
mag,2022_03_25_12_50_38
njool,2022_03_25_12_50_45
gaat,2022_03_25_12_50_51
am yaram,2022_03_25_12_51_29
sew,2022_03_25_12_51_35
xess,2022_03_25_12_59_13
ñul,2022_03_25_12_59_20
xalee bu goor bu rafet,2022_03_25_13_01_06
tilim,2022_03_25_13_01_13
reew,2022_03_25_13_01_24
xalee bu goor,2022_03_25_13_01_31
mbebët,2022_03_25_13_01_37
baxa-baxa,2022_03_25_13_01_44
mboq,2022_03_25_13_01_50
xonq,2022_03_25_13_01_57
soqolaa,2022_03_25_17_00_10
ñuul,2022_03_25_17_00_17
weex,2022_03_25_17_00_24
soraans,2022_03_25_17_00_31
yolet,2022_03_25_17_00_37
wert,2022_03_25_17_00_43
benn,2022_03_25_17_00_55
ñaar,2022_03_25_17_15_50
ñett,2022_03_25_17_50_29
ñent,2022_03_25_17_50_36
juroom,2022_03_25_17_50_42
juroom-benn,2022_03_25_17_50_49
juroom-ñaar,2022_03_25_17_50_55
juroom-ñett,2022_03_25_17_51_02
juroom-ñent,2022_03_25_17_51_09
fukk,2022_03_25_17_51_16
fukk ak benn,2022_03_25_17_51_22
fukk ak ñaar,2022_03_25_17_51_45
fukk ak ñett,2022_03_25_17_51_52
fukk ak ñent,2022_03_25_17_52_11
fukk ak juroom,2022_03_25_17_52_30
fukk ak juroom benn,2022_03_25_17_52_37
fukk ak juroom ñaar,2022_03_25_17_52_45
fukk ak juroom ñett,2022_03_25_17_52_52
fukk ak juroom ñent,2022_03_25_17_53_00
ñaar fukk,2022_03_25_17_53_07
ñaar fukk ak benn,2022_03_25_17_53_14
ñaar fukk ak juroom,2022_03_25_17_53_40
fanweer,2022_03_25_17_53_47
ñent fukk,2022_03_25_17_53_54
 juroom fukk,2022_03_25_17_54_13
jurooom benn fukk,2022_03_25_17_54_20
juroom ñaar fukk,2022_03_25_17_54_28
juroom ñett fukk,2022_03_25_17_54_35
juroom ñent fukk,2022_03_25_17_54_42
teemeer,2022_03_25_17_54_50
teemeer ak fukk,2022_03_25_17_55_18
teemeer ak ñaar fukk,2022_03_25_17_55_25
teemeer ak fanweer,2022_03_25_17_55_40
teemeer ak ñent fukk,2022_03_25_17_55_47
teemeer ak juroom fukk,2022_03_25_17_56_03
teemeer ak juroom benn fukk,2022_03_25_17_56_10
teemeer ak juroom ñaar fukk,2022_03_25_17_56_18
teemeer ak juroom ñett fukk,2022_03_25_17_56_25
teemeer ak juroom ñent fukk,2022_03_25_17_56_33
ñaari teemeer,2022_03_25_17_56_41
ñetti teemeer,2022_03_25_17_56_48
ñenti teemeer,2022_03_25_17_56_55
juroomi teemeer,2022_03_25_17_58_38
juroom benni teemeer,2022_03_25_17_58_47
juroom ñaari teemeer,2022_03_25_17_58_57
juroom ñetti teemeer,2022_03_25_17_59_10
juroom ñenti teemeer,2022_03_25_17_59_18
junni,2022_03_25_17_59_27
junni ak teemeer,2022_03_25_17_59_35
junni ak juroomi teemeer,2022_03_25_17_59_42
ñaari junni,2022_03_25_18_00_00
ñaari junni ak juroomi teemeer,2022_03_25_18_00_07
ñetti junni,2022_03_25_18_00_15
ñetti junni ak juroomi teemeer,2022_03_25_18_00_22
ñenti junni,2022_03_25_18_00_30
 juroomi junni,2022_03_25_18_00_37
fukki junni,2022_03_25_18_00_45
ñaar fukki junni,2022_03_25_18_00_55
fanweeri junni,2022_03_25_18_01_03
ñent fukki junni,2022_03_25_18_01_11
juroom fukki junni,2022_03_25_18_01_18
juroom benn fukki junni,2022_03_25_18_01_27
juroom ñaar fukki junni,2022_03_25_18_02_01
juroom ñett fukki junni,2022_03_25_18_02_10
juroom ñent fukki junni,2022_03_25_18_02_19
ñaar fukki junni,2022_03_25_18_02_28
